MGRS_TILE,count,date,row_id,mean,median,p25,p75,stdDev
31UFT,16,2026-03-22,4,0.39833468218577134,0.39345203079892904,0.38356164173843676,0.4235649534315068,0.05219719107748634
31UFT,13,2026-03-22,5,0.4946676409545926,0.4942704239676236,0.42461539960471806,0.5285234804155755,0.07310200708110849
31UFT,35,2026-03-22,6,0.11944386732419657,0.10190366924828313,0.01803607917593292,0.24400567168875026,0.15136590839333736
31UFT,0,2026-03-25,0,,,,,
31UFT,0,2026-03-25,1,,,,,
31UFT,0,2026-03-25,2,,,,,
31UFT,0,2026-03-25,3,,,,,
31UFT,0,2026-03-25,4,,,,,
31UFT,0,2026-03-25,5,,,,,
31UFT,0,2026-03-25,6,,,,,
31UFT,0,2026-03-27,0,,,,,
31UFT,0,2026-03-27,1,,,,,
31UFT,0,2026-03-27,2,,,,,
31UFT,0,2026-03-27,3,,,,,
31UFT,0,2026-03-27,4,,,,,
31UFT,0,2026-03-27,5,,,,,
31UFT,0,2026-03-27,6,,,,,
31UFT,0,2026-03-29,0,,,,,
31UFT,0,2026-03-29,1,,,,,
31UFT,0,2026-03-29,2,,,,,
31UFT,0,2026-03-29,3,,,,,
31UFT,0,2026-03-29,4,,,,,
31UFT,0,2026-03-29,5,,,,,
31UFT,0,2026-03-29,6,,,,,
31UFT,139,2026-03-30,0,0.7913469178914634,0.7936485164162087,0.7801073864675417,0.8048199672614901,0.03368034950530341
31UFT,0,2026-03-30,1,,,,,
31UFT,0,2026-03-30,2,,,,,
31UFT,0,2026-03-30,3,,,,,
31UFT,0,2026-03-30,4,,,,,
31UFT,0,2026-03-30,5,,,,,
31UFT,0,2026-03-30,6,,,,,
31UFT,0,2026-04-01,0,,,,,
31UFT,0,2026-04-01,1,,,,,
31UFT,0,2026-04-01,2,,,,,
31UFT,0,2026-04-01,3,,,,,
31UFT,0,2026-04-01,4,,,,,
31UFT,0,2026-04-01,5,,,,,
31UFT,0,2026-04-01,6,,,,,
31UFT,96,2026-04-01,0,0.48531934174380814,0.4845581218876735,0.46666665136661106,0.5000916016679379,0.022617785579931528
31UFT,0,2026-04-01,1,,,,,
